province,date,avg_relative_humidity
Gwangju,2020-08-14,88.4
Gwangju,2020-08-15,84.4
Gwangju,2020-08-16,87.1
Gwangju,2020-08-17,84.5
Gwangju,2020-08-18,82.1
Gwangju,2020-08-19,79.8
Gwangju,2020-08-20,82.0
Gwangju,2020-08-21,85.0
Gwangju,2020-08-22,85.9
Gwangju,2020-08-23,86.4
Gwangju,2020-08-24,81.1
Gwangju,2020-08-25,76.3
Gwangju,2020-08-26,86.0
Gwangju,2020-08-27,88.3
Gwangju,2020-08-28,86.5
Gwangju,2020-08-29,95.1
Gwangju,2020-08-30,85.6
Gwangju,2020-08-31,95.3
Gyeonggi-do,2020-06-01,67.38
Gyeonggi-do,2020-06-02,75.75999999999999
Gyeonggi-do,2020-06-03,78.53999999999999
Gyeonggi-do,2020-06-04,83.08000000000001
Gyeonggi-do,2020-06-05,75.25999999999999
Gyeonggi-do,2020-06-06,70.84
Gyeonggi-do,2020-06-07,75.54
Gyeonggi-do,2020-06-08,72.02000000000001
Gyeonggi-do,2020-06-09,62.9
Gyeonggi-do,2020-06-10,72.22
Gyeonggi-do,2020-06-11,73.76000000000002
Gyeonggi-do,2020-06-12,81.73999999999998
Gyeonggi-do,2020-06-13,68.14
Gyeonggi-do,2020-06-14,77.67999999999999
Gyeonggi-do,2020-06-15,68.34
Gyeonggi-do,2020-06-16,69.94
Gyeonggi-do,2020-06-17,71.52000000000001
Gyeonggi-do,2020-06-18,74.92
Gyeonggi-do,2020-06-19,70.08
Gyeonggi-do,2020-06-20,73.12
Gyeonggi-do,2020-06-21,69.88
Gyeonggi-do,2020-06-22,63.8
Gyeonggi-do,2020-06-23,67.6
Gyeonggi-do,2020-06-24,90.47999999999999
Gyeonggi-do,2020-06-25,95.58
Gyeonggi-do,2020-06-26,85.96000000000001
Gyeonggi-do,2020-06-27,79.56000000000002
Gyeonggi-do,2020-06-28,78.46000000000001
Gyeonggi-do,2020-06-29,86.06
Gyeonggi-do,2020-06-30,87.22
Gyeonggi-do,2020-07-01,88.7
Gyeonggi-do,2020-07-02,80.22
Gyeonggi-do,2020-07-03,77.48
Gyeonggi-do,2020-07-04,75.96000000000001
