code,province,date,avg_relative_humidity
133,Daejeon,2020-06-06,74.5
135,Chungcheongbuk-do,2020-06-06,61.1
136,Gyeongsangbuk-do,2020-06-06,54.1
137,Gyeongsangbuk-do,2020-06-06,61.9
138,Gyeongsangbuk-do,2020-06-06,84
140,Jeollabuk-do,2020-06-06,85.8
143,Daegu,2020-06-06,65.9
146,Jeollabuk-do,2020-06-06,78.8
152,Ulsan,2020-06-06,76.3
155,Gyeongsangnam-do,2020-06-06,71.5
156,Gwangju,2020-06-06,83.9
159,Busan,2020-06-06,69.3
162,Gyeongsangnam-do,2020-06-06,71
165,Jeollanam-do,2020-06-06,86.4
168,Jeollanam-do,2020-06-06,82.1
169,Jeollanam-do,2020-06-06,92.1
170,Jeollanam-do,2020-06-06,81.1
172,Jeollabuk-do,2020-06-06,87.1
174,Jeollanam-do,2020-06-06,82.9
177,Chungcheongnam-do,2020-06-06,78.8
184,Jeju-do,2020-06-06,85.8
185,Jeju-do,2020-06-06,90.6
188,Jeju-do,2020-06-06,87.8
189,Jeju-do,2020-06-06,98
192,Gyeongsangnam-do,2020-06-06,77.9
201,Incheon,2020-06-06,78.4
202,Gyeonggi-do,2020-06-06,64.4
203,Gyeonggi-do,2020-06-06,66.4
211,Gangwon-do,2020-06-06,65.1
212,Gangwon-do,2020-06-06,59.8
216,Gangwon-do,2020-06-06,64.5
217,Gangwon-do,2020-06-06,65.6
221,Chungcheongbuk-do,2020-06-06,60.5
226,Chungcheongbuk-do,2020-06-06,64.6
232,Chungcheongnam-do,2020-06-06,66
235,Chungcheongnam-do,2020-06-06,90.9
236,Chungcheongnam-do,2020-06-06,76.3
238,Chungcheongnam-do,2020-06-06,77.8
239,Sejong,2020-06-06,69.6
243,Chungcheongnam-do,2020-06-06,86.4
244,Jeollabuk-do,2020-06-06,83.8
245,Jeollabuk-do,2020-06-06,80.5
247,Jeollabuk-do,2020-06-06,82.3
248,Jeollabuk-do,2020-06-06,84
251,Jeollabuk-do,2020-06-06,81.3
252,Jeollanam-do,2020-06-06,84.4
253,Gyeongsangnam-do,2020-06-06,62.3
254,Jeollabuk-do,2020-06-06,81.3
255,Gyeongsangnam-do,2020-06-06,70.6
257,Gyeongsangnam-do,2020-06-06,63.3
258,Jeollanam-do,2020-06-06,82.5
259,Jeollanam-do,2020-06-06,78.9
260,Jeollanam-do,2020-06-06,81.5
261,Jeollanam-do,2020-06-06,80.9
262,Jeollanam-do,2020-06-06,83.8
263,Gyeongsangnam-do,2020-06-06,68
264,Gyeongsangnam-do,2020-06-06,79
266,Jeollanam-do,2020-06-06,75.8
268,Jeollanam-do,2020-06-06,82.8
271,Gyeongsangbuk-do,2020-06-06,62.9
272,Gyeongsangbuk-do,2020-06-06,62.8
273,Gyeongsangbuk-do,2020-06-06,62.3
276,Gyeongsangbuk-do,2020-06-06,70.8
277,Gyeongsangbuk-do,2020-06-06,78.1
278,Gyeongsangbuk-do,2020-06-06,60.3
279,Gyeongsangbuk-do,2020-06-06,64
281,Gyeongsangbuk-do,2020-06-06,72.1
283,Gyeongsangbuk-do,2020-06-06,76.4
284,Gyeongsangnam-do,2020-06-06,81.4
285,Gyeongsangnam-do,2020-06-06,67.6
288,Gyeongsangnam-do,2020-06-06,54.6
289,Gyeongsangnam-do,2020-06-06,79.3
294,Gyeongsangnam-do,2020-06-06,72.5
295,Gyeongsangnam-do,2020-06-06,78.5
90,Gangwon-do,2020-06-07,78.4
93,Gangwon-do,2020-06-07,67.6
95,Gangwon-do,2020-06-07,83.6
98,Gyeonggi-do,2020-06-07,79
99,Gyeonggi-do,2020-06-07,80.9
100,Gangwon-do,2020-06-07,75
101,Gangwon-do,2020-06-07,64.3
102,Incheon,2020-06-07,95.6
104,Gangwon-do,2020-06-07,74.6
105,Gangwon-do,2020-06-07,67.3
106,Gangwon-do,2020-06-07,75.9
108,Seoul,2020-06-07,69.4
112,Incheon,2020-06-07,80.1
114,Gangwon-do,2020-06-07,50.3
115,Gyeongsangbuk-do,2020-06-07,59
119,Gyeonggi-do,2020-06-07,81.6
121,Gangwon-do,2020-06-07,60.3
127,Chungcheongbuk-do,2020-06-07,58.5
129,Chungcheongnam-do,2020-06-07,82
130,Gyeongsangbuk-do,2020-06-07,72.5
131,Chungcheongbuk-do,2020-06-07,60.8
133,Daejeon,2020-06-07,72.8
135,Chungcheongbuk-do,2020-06-07,57.9
136,Gyeongsangbuk-do,2020-06-07,52
137,Gyeongsangbuk-do,2020-06-07,61.3
138,Gyeongsangbuk-do,2020-06-07,62.6
140,Jeollabuk-do,2020-06-07,74.8
143,Daegu,2020-06-07,53.9
146,Jeollabuk-do,2020-06-07,71
152,Ulsan,2020-06-07,59.9
155,Gyeongsangnam-do,2020-06-07,54.6
156,Gwangju,2020-06-07,71.3
159,Busan,2020-06-07,49.5
162,Gyeongsangnam-do,2020-06-07,58.5
165,Jeollanam-do,2020-06-07,74.8
168,Jeollanam-do,2020-06-07,63.6
169,Jeollanam-do,2020-06-07,78.8
170,Jeollanam-do,2020-06-07,66.4
172,Jeollabuk-do,2020-06-07,81
174,Jeollanam-do,2020-06-07,77
177,Chungcheongnam-do,2020-06-07,76.8
184,Jeju-do,2020-06-07,77.5
185,Jeju-do,2020-06-07,89.9
188,Jeju-do,2020-06-07,81.6
189,Jeju-do,2020-06-07,82
192,Gyeongsangnam-do,2020-06-07,71.3
201,Incheon,2020-06-07,86.3
202,Gyeonggi-do,2020-06-07,66.6
